time	od-sensors-2.od-680	od-sensors-4.od-680	od-sensors-6.od-680	od-sensors-8.od-680	pumps-20057.pump-2-consumption	pumps-20057.pump-4-consumption	pumps-20057.pump-6-consumption	pumps-20057.pump-8-consumption
0					0	0	0	0
0.0025			0.28868					
0.005556					0	0	0	0
0.009722								0
0.011111								0.4167
0.016667	0.2551	0.28822		0.30132	0	0	0	
0.019167			0.35657					
0.026389								0.4167
0.027778								0.8333
0.033333	0.25328	0.29586		0.30746				
0.035833			0.29038					
0.05	0.26009	0.27387		0.30336				
0.0525			0.26179					
0.066667	0.25929	0.27116		0.30687				
0.069167			0.26259					
0.083333	0.25302	0.26901		0.31159				
0.085833			0.27366					
0.1	0.25432	0.27224		0.3054				
0.1025			0.27475					
0.116667	0.25328	0.27035		0.31041				
0.119167			0.27175					
0.133333	0.25484	0.26821		0.30219				
0.135833			0.27256					
0.15	0.25484	0.27143		0.30336				
0.1525			0.26903					
0.166667	0.25328	0.2666		0.30161				
0.169167			0.27066					
0.183333	0.25432	0.2658		0.30394				
0.185833			0.27012					
0.2	0.24888	0.2674		0.30045				
0.2025			0.26768					
0.216667	0.25146	0.26847		0.3107				
0.219167			0.26876					
0.233333	0.25588	0.26421		0.30569				
0.235833			0.27147					
0.25	0.25484	0.26901		0.30103				
0.2525			0.2666					
0.266667	0.25302	0.26982		0.30482				
0.269167			0.26768					
0.283333	0.25302	0.26633		0.30248				
0.285833			0.27093					
0.3	0.25172	0.27089		0.30365				
0.3025			0.2658					
0.316667	0.25328	0.26341		0.30365				
0.319167			0.26446					
0.333333	0.25484	0.26607		0.30336				
0.335833			0.26205					
0.35	0.2538	0.26474		0.30161				
0.3525			0.26526					
0.366667	0.2512	0.2658		0.3019				
0.369167			0.26179					
0.383333	0.25458	0.26714		0.30336				
0.385833			0.26419					
0.4	0.25224	0.26288		0.30103				
0.4025			0.26634					
0.416667	0.2538	0.2666		0.30482				
0.419167			0.26339					
0.433333	0.25562	0.2666		0.30306				
0.435833			0.26285					
0.45	0.25276	0.26447		0.30628				
0.4525			0.26419					
0.466667	0.25458	0.26714		0.30277				
0.469167			0.26072					
0.483333	0.24939	0.26527		0.30599				
0.485833			0.26259					
0.5	0.25458	0.26394		0.30657				
0.5025			0.26339					
0.516667	0.25667	0.26394		0.30423				
0.519167			0.26179					
0.533333	0.25172	0.265		0.30511				
0.535833			0.26446					
0.55	0.25562	0.26633		0.30599				
0.5525			0.26126					
0.566667	0.25224	0.26928		0.30365				
0.569167			0.25887					
0.583333	0.26247	0.26928		0.30834				
0.585833			0.26126					
0.6	0.25302	0.2613		0.30628				
0.6025			0.26019					
0.616667	0.25354	0.26955		0.30569				
0.619167			0.26152					
0.633333	0.25328	0.27089		0.30511				
0.635833			0.26126					
0.65	0.25302	0.26527		0.3054				
0.6525			0.26232					
0.666667	0.26167	0.26901		0.3113				
0.669167			0.26072					
0.683333	0.25328	0.26821		0.30657				
0.685833			0.26205					
0.7	0.25588	0.26633		0.30628				
0.7025			0.26446					
0.716667	0.25798	0.27089		0.30336				
0.719167			0.26339					
0.733333	0.25458	0.26633		0.30657				
0.735833			0.26099					
0.75	0.25484	0.26767		0.30834				
0.7525			0.26312					
0.766667	0.25068	0.2666		0.30569				
0.769167			0.26285					
0.783333	0.25798	0.26767		0.31041				
0.785833			0.26339					
0.8	0.2525	0.26554		0.30775				
0.8025			0.26232					
0.816667	0.25484	0.2674		0.31428				
0.819167			0.26259					
0.833333	0.25432	0.26767		0.30628				
0.835833			0.26365					
0.85	0.25614	0.26527		0.30657				
0.8525			0.26365					
0.866667	0.25562	0.26315		0.30365				
0.869167			0.26126					
0.883333	0.25667	0.27035		0.31041				
0.885833			0.25966					
0.9	0.25146	0.26794		0.30893				
0.9025			0.26339					
0.916667	0.263	0.26714		0.3113				
0.919167			0.26179					
0.933333	0.25929	0.26821		0.30687				
0.935833			0.26499					
0.95	0.25956	0.26687		0.30952				
0.9525			0.26419					
0.966667	0.2662	0.27062		0.30952				
0.969167			0.26339					
0.983333	0.25956	0.27796		0.31041				
0.985833			0.26526					
1	0.26061	0.2658		0.31189				
1.0025			0.26472					
1.016667	0.25745	0.26794		0.31338				
1.019167			0.26339					
1.033333	0.25929	0.27035		0.31011				
1.035833			0.26392					
1.05	0.25745	0.27251		0.3113				
1.0525			0.26687					
1.066667	0.26433	0.26821		0.30893				
1.069167			0.26419					
1.083333	0.25641	0.27089		0.30775				
1.085833			0.26419					
1.1	0.25824	0.26527		0.3107				
1.1025			0.26795					
1.116667	0.25588	0.26633		0.31308				
1.119167			0.26392					
1.133333	0.25982	0.27009		0.31607				
1.135833			0.26499					
1.15	0.25667	0.26794		0.31487				
1.1525			0.26553					
1.166667	0.25956	0.26633		0.30746				
1.169167			0.26419					
1.183333	0.25745	0.26687		0.31249				
1.185833			0.26365					
